City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,seneca,41.1167,-83.1166,11.63,67,0,1.99,US,1728520684
300,barmer,25.75,71.3833,28.47,35,6,1.48,IN,1728520685
301,lebu,-37.6167,-73.65,10.48,92,1,5.92,CL,1728520543
302,coquimbo,-29.9533,-71.3436,13.85,84,20,3.6,CL,1728520396
303,antofagasta,-23.65,-70.4,15.6,78,0,2.4,CL,1728520563
304,rome,34.257,-85.1647,18.75,79,0,1.91,US,1728520458
305,kharp,66.8014,65.8081,-7.17,90,13,3.64,RU,1728520393
306,fiambala,-27.6871,-67.6149,11.1,87,100,5.12,AR,1728520691
307,tabou,4.423,-7.3528,24.56,91,100,1.68,CI,1728520692
308,novo aripuana,-5.1206,-60.3797,29.84,42,30,1.06,BR,1728520693
309,korsun-shevchenkivskyi,49.4189,31.2587,12.48,92,99,2.99,UA,1728520694
310,limbe,4.0242,9.2149,24.4,87,100,1.19,CM,1728520696
311,banjar,-8.19,114.9675,31.64,56,44,0.33,ID,1728520562
312,aldan,58.6031,125.3894,1.15,83,100,3.14,RU,1728520698
313,aksu,41.1231,80.2644,14.02,46,7,0.71,CN,1728520699
314,borogontsy,62.6683,131.1683,-0.06,72,100,4.4,RU,1728520700
315,port hedland,-20.3167,118.5667,29.03,37,90,10.29,AU,1728520701
316,saint-joseph,-21.3667,55.6167,21.21,76,54,5.96,RE,1728520702
317,spanish springs,39.6491,-119.7074,27.02,17,0,7.2,US,1728520703
318,envira,-7.3,-70.2167,21.67,99,100,2.34,BR,1728520704
319,al jawf,29.5,38.75,22.22,29,0,3.71,SA,1728520705
320,chonchi,-42.6128,-73.8092,10.07,96,96,1.24,CL,1728520706
321,waingapu,-9.6567,120.2641,30.16,56,6,5.64,ID,1728520707
322,isangel,-19.55,169.2667,27.06,69,75,2.57,VU,1728520708
323,puerto maldonado,-12.6,-69.1833,22.44,93,100,2.01,PE,1728520709
324,flin flon,54.7682,-101.865,11.49,75,100,2.21,CA,1728520710
325,port elizabeth,-33.918,25.5701,16.29,98,100,6.17,ZA,1728520711
326,laguna,38.421,-121.4238,30.26,35,0,3.09,US,1728520712
327,colonia,50.9333,6.95,15.14,95,75,3.6,DE,1728520236
328,wenchang,30.904,118.4887,19.44,55,100,1.17,CN,1728520716
329,tindouf,27.6711,-8.1474,21.25,52,0,8.23,DZ,1728520717
330,ugoofaaru,5.6667,73.0,26.86,83,100,10.23,MV,1728520718
331,wailua homesteads,22.0669,-159.378,28.44,76,75,8.23,US,1728520719
332,ola,59.5833,151.2833,-2.01,49,0,1.49,RU,1728520720
333,greymouth,-42.4667,171.2,13.68,59,43,3.3,NZ,1728520721
334,nadym,65.5333,72.5167,-2.02,80,100,8.14,RU,1728520722
335,san sebastian de la gomera,28.0916,-17.1133,23.2,78,0,2.57,ES,1728520723
336,kassala,15.451,36.4,30.17,50,100,4.19,SD,1728520724
337,pemba,-12.974,40.5178,23.39,73,20,5.27,MZ,1728520726
338,emerald,-23.5333,148.1667,26.3,54,13,2.17,AU,1728520727
339,lethem,3.3803,-59.7968,28.84,51,100,3.82,GY,1728520728
340,bulolo,-7.2,146.65,30.18,59,67,1.4,PG,1728520729
341,sampit,-2.5333,112.95,27.89,84,89,0.66,ID,1728520730
342,ketchikan,55.3422,-131.6461,11.26,82,100,5.14,US,1728520733
343,karratha,-20.7377,116.8463,31.25,31,99,10.3,AU,1728520693
344,mukalla,14.5425,49.1242,24.92,83,2,1.98,YE,1728520735
345,hammerfest,70.6634,23.6821,4.25,70,75,4.12,NO,1728520736
346,dalandzadgad,43.5708,104.425,9.52,36,0,2.73,MN,1728520737
347,kirakira,-10.4544,161.9205,28.61,78,100,4.72,SB,1728520738
348,micheweni,-4.9667,39.8333,24.55,83,20,4.39,TZ,1728520739
349,hauterive,46.0901,3.4459,12.58,90,100,4.15,FR,1728520740
350,leh,34.1667,77.5833,0.18,63,8,2.11,IN,1728520741
351,tshela,-4.9833,12.9333,21.57,96,100,0.77,CD,1728520742
352,yeppoon,-23.1333,150.7333,22.81,75,15,4.65,AU,1728520743
353,el kala,36.8956,8.4433,25.15,54,100,2.11,DZ,1728520744
354,kone,-21.0595,164.8658,29.55,38,100,4.03,NC,1728520745
355,salekhard,66.53,66.6019,-6.84,87,15,2.47,RU,1728520746
356,copala,16.65,-98.9833,25.53,87,100,1.12,MX,1728520747
357,pisco,-13.7,-76.2167,17.23,88,0,8.23,PE,1728520749
358,el granada,37.5027,-122.4694,18.78,88,100,5.14,US,1728520750
359,immenstaad am bodensee,47.6667,9.3667,15.04,87,75,1.54,DE,1728520751
360,new norfolk,-42.7826,147.0587,10.32,76,100,5.73,AU,1728520752
361,hasaki,35.7333,140.8333,20.59,71,100,12.34,JP,1728520753
